,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,HIMALAYA Anti-Hair Fall Bhringaraja Shampoo  (340 ml),₹187,https://www.flipkart.com/himalaya-anti-hair-fall-bhringaraja-shampoo/p/itmdfe90bd22c431?pid=SMPEUHHFRWZ35ZFD&lid=LSTSMPEUHHFRWZ35ZFDOB6IWC&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=en_pe7SYu%2BZTIIC52qoMgwsd9aaOEbk6wKnxebo9nZr3QMkm%2F6K0QeI%2FmE5xPVKUzXxbmPSPAAxQyU4U0TSw%2F7uJA%3D%3D&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/l/l/340-anti-hair-fall-bhringaraja-shampoo-340ml-himalaya-original-imagnrjj3twnhv5x.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types,No Description,"Applied For	Anti-hair Fall
Hair Type	All Hair Types
Ideal For	Men & Women","Wow amazing shampoo thank you seller nd flipcart for your best product and super fast delivery ..and nice packaging..no issues about delivery nd packing...oh my god what a magical shampoo unbelievable ..when I came Delhi I was literally crying to see my hairfall but I tried Himalaya nd I am amazed ..thank you seller nd flipcart ..I don't know how can I thank you ..love u.. :- it is a very classy shampoo, for the people who are suffering from severe hair fall. it is a very low chemical product and you can use it daily. and I have seen its effect after few days of using it... you can daily use shampoo this is very good and the delivery was also very nice well packed.  thank you Flipkart. :- I love this product and highly recommend. I have been used it from long time I am getting good result it stop hair fall and help to grow hair. Very good product low chemical the delivery was also very nice, well pack by flipkart thank you Flipkart At Rs.175",Ezig4.8
1,"HIMALAYA Anti-Hair Fall Shampoo,  (1 L)",₹564,https://www.flipkart.com/himalaya-anti-hair-fall-shampoo/p/itmd123a0db55fa8?pid=SMPFF5QHHUTFYYCZ&lid=LSTSMPFF5QHHUTFYYCZOWVXN1&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=en_pe7SYu%2BZTIIC52qoMgwsd9aaOEbk6wKnxebo9nZr3QNuJU%2FlUyUKOKRFFvQ%2BdP508lG2bFz%2Bsh2OAqMRrnmweQ%3D%3D&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kklhbbk0/shampoo/u/n/e/anti-hair-fall-shampoo-1-litre-himalaya-original-imafzwzh4exgsgys.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall,"In this day and age, several factors can affect the health of your hair. Some of the most common hair problems faced these days are hair fall, dandruff, damaged Hair, frizzy hair, split ends, dry hair, rough hair, etc. Our shampoo significantly reduces itchiness and provides long lasting relief to the scalp. It cleans the scalp and protects it from infections & dryness. Himalaya Anti-Dandruff Shampoo is enriched with the goodness of Tea Tree Oil & Aloe Vera, which are known to remove up to 100% dandruff and prevent it from coming back. Use Himalaya Anti-Dandruff Conditioner after shampoo for best results.","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1",packing was not good ..i baught in 365 ...1 ltr quality :- very nice packaging... m always Himalaya lover.. I love this shampoo.. I got it for 317.. very reasonable :- Best price at offer loved it,Ezig4.8
2,TRESemme Keratin Smooth Shampoo  (340 ml),₹332,https://www.flipkart.com/tresemme-keratin-smooth-shampoo/p/itmf3xfwbmnxrrjk?pid=SMPF6FE7PXHFZTEG&lid=LSTSMPF6FE7PXHFZTEGLNSU39&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPF6FE7PXHFZTEG.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/3/5/q/-original-imagkycykzhj89yh.jpeg?q=70,"Hair Shine, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients on Tag",No Description,"Applied For	Hair Shine, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Ingredients on Tag
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Best shampoo, long lasting frangnac your hair will become smooth after wash. But if you want to reduce hair fall then no shampoo will gonna help you. Improve your diet reduce oil consumption in food eat vegetables and fruits and almonds daily at least 30 days to see results. Don't expect for miracle nothing gonna work in one day. :- nice shampoo make your hair smooth nd shiny use it with tresemmee conditioner for better result :- It works very well in my hair this shampoo. I have been using for a long time. I am very satisfied with flipcart delivery in just 2 days. Thank you Flipcart.",SURICYBCOMBazaar4.7
3,L'Oréal Paris Total Repair 5 Repairing Shampoo with Keratin XS  (1 L),₹522,https://www.flipkart.com/l-oral-paris-total-repair-5-repairing-shampoo-keratin-xs/p/itmd645f0948965b?pid=SMPFUHM82QPRBMR8&lid=LSTSMPFUHM82QPRBMR8XJFDCD&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&spotlightTagId=BestsellerId_g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPFUHM82QPRBMR8.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/ktrk13k0/shampoo/j/l/6/total-repair-5-shampoo-l-oreal-paris-original-imag7fngbsgvzbjk.jpeg?q=70,Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"5 Problems.1 Solution. L'Oreal Paris Total Repair 5 Repairing Shampoo helps fight against the five visible signs of damaged hair - Hair fall, dryness, roughness, dullness and split ends without weighing it down. Damaged hair can lack the natural cement which keeps the hair strong and resilient. To ensure cohesion and strength, the L'Oreal Laboratories have created Ceramide-Cement technology to replicate the hair's natural cement, targeting the 5 problems. Explore our best hair products to revive and repair damaged hair. Highlights: 1. Helps fight against the five visible signs of damaged hair - hair fall, dryness, roughness, dullness, and split ends 2. Shampoo for damaged hair 3. With Protein + Ceramide 4. Fights the 5 signs of damage.","Applied For	Damage Repair
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","Good shampoo but it's fragrance is too strong that I don't like and it will make your hair little bit smooth and for shiness it doesn't affect on my so it is ok ok product why the way it is not that much value for money 💸 :- Amazing purchased I'm very happy ,best in the market , I bought two products and got in half mrp rupees and delivery boy is very good behaviour. Again shopping dis product amazing purchased I'm very happy with :- best shampoo with best quality and no harm. perfect lather and gentle care of hair",SURICYBCOMBazaar4.7
4,WOW SKIN SCIENCE Onion Shampoo for Hair Growth and Hair Fall Control  (300 ml),₹299,https://www.flipkart.com/wow-skin-science-onion-shampoo-hair-growth-fall-control/p/itm2cce4a237c884?pid=SMPFKVGHRMZMP7J3&lid=LSTSMPFKVGHRMZMP7J3LEYW1O&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPFKVGHRMZMP7J3.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/4/u/v/-original-imagnkryfgwxjvnc.jpeg?q=70,"Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Red onion extract and black seed oil",No Description,"Applied For	Nourishment & Moisturization, Damage Repair, Scalp Cleansing, Anti-hair Fall, Anti-dandruff, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Red onion extract and black seed oil
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","It's really a sulphate free hair friendly product..!! As there is no Sulphates the lather formation will be of course poor.. So keep that in mind.. Question is do you want lather at the cost of your Baldness or Good strong hair without lather formation..I want to clarify it more properly.. Lather formation occurs on 3rd wash..!!Steps to follow:take a small mug type thing in which you can dilute your (5-6times pressed out amount for men) shampoo in that mug with Warm or hot water of gyser..... :- Pretty damn good shaampoo. Doesn't leave the hair sticky or too dry. Good fragrance. No unwanted chemicals used making it safer to use. Usually while getting up in morning my hair used to sticky/tangled conditions but used this at night the next it was amazing.Would really recommend the products of WOW to anyone.And thanks to Flipkart for having such great products and delivering those with great packaging and on time... :- Product is quite good, but fragrance is not as good as the apple cider vinegar one which i had previously used but that's good.It does it's work well, hair becomes shiny and smooth.Will give more details after long time use.",BodyCupid4.5
5,Kesh King Organic Onion Shampoo with Curry Leaves | Boosts Hair Growth  (600 ml),₹290,https://www.flipkart.com/kesh-king-organic-onion-shampoo-curry-leaves-boosts-hair-growth/p/itma56a46477055b?pid=SMPG8SJ2GUJJVNFT&lid=LSTSMPG8SJ2GUJJVNFTA07NQF&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPG8SJ2GUJJVNFT.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/8/n/o/-original-imagjxkaxky8zwyh.jpeg?q=70,"Anti-hair Fall, Deep Conditioning, Dryness Care, Hair Shine, Nourishment & Moisturization, Scalp Cleansing, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Each 10 ml contains extracts of: Allium cepa (Piyaja) Sd. 51.5 mg, Aloe barbadensis (Aloe vera) Lf., Symplocos racemosa (Lodhra) St.Bk., Terminalia chebula (Haritaki) Fr., Terminalia belerica (Bibhitaka) Fr. 25.75 mg each, Emblica officinalis (Amalaki) Dr.Fr. 51.5 mg, Ocimum sanctum (Tulasi) Wh.Pl. 15.45 mg, Acacia concinna (Shikakai) Pod., Rubia condifolia (Bhringaraja) Rt., Nardostachys jatamansi (Jatamansi) Rz., Zizyphus mauritiana (Kola) Lf., Lawsonia inermis (Henna) Lf., Mesua ferrea (Nagakesara) Fl., Cyperus rotundus (Musta) Rz., Trigonella foenum-graecum (Methi) Sd., Centella asiatica (Mandukparni) Wh.Pl., Tribulus terrestris (Goksura) Fr. 10.30 mg each, Azadirachta indica (Neem) Lf. 11.33 mg, Pongamia pinnata (Karanja) seed oil 1.03 mg, Citrus limon (Lemon) oil, Ocimum basilicum (Tulasi) oil, Rosmarinus officinalis (Rosemary) leaf oil 0.01 mg each; Sugandhit dravya. Excipients: Base q.q.; Preservatives: DMDM Hydantoin, Methylchloroisothiazolinone (and) Methylisothiazolinone","Emami Kesh King Scalp and Hair Medicine Ayurvedic Hairfall Expert Onion Shampoo. Reduce hairfall and Boost hair growth with Kesh King Onion Shampoo. This unique and potent ayurvedic formula is filled with the goodness of Onion and 21 Ayurvedic Herbs which reduces hairfall, boosts hair growth and makes hair silky, shiny and smooth. It is filled with fragrance of flowers. Kesh King Onion Shampoo is Paraben and Phthalate free, contains no artificial colours, is cruelty free and FDA approved. For best results, use with Kesh King Onion Oil and Conditioner. With 21 Herbs & Fragrance of Flowers. Reduces Hairfall. Boosts Hair Growth. Makes hair silky, shiny and smooth.","Applied For	Anti-hair Fall, Deep Conditioning, Dryness Care, Hair Shine, Nourishment & Moisturization, Scalp Cleansing, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Each 10 ml contains extracts of: Allium cepa (Piyaja) Sd. 51.5 mg, Aloe barbadensis (Aloe vera) Lf., Symplocos racemosa (Lodhra) St.Bk., Terminalia chebula (Haritaki) Fr., Terminalia belerica (Bibhitaka) Fr. 25.75 mg each, Emblica officinalis (Amalaki) Dr.Fr. 51.5 mg, Ocimum sanctum (Tulasi) Wh.Pl. 15.45 mg, Acacia concinna (Shikakai) Pod., Rubia condifolia (Bhringaraja) Rt., Nardostachys jatamansi (Jatamansi) Rz., Zizyphus mauritiana (Kola) Lf., Lawsonia inermis (Henna) Lf., Mesua ferrea (Nagakesara) Fl., Cyperus rotundus (Musta) Rz., Trigonella foenum-graecum (Methi) Sd., Centella asiatica (Mandukparni) Wh.Pl., Tribulus terrestris (Goksura) Fr. 10.30 mg each, Azadirachta indica (Neem) Lf. 11.33 mg, Pongamia pinnata (Karanja) seed oil 1.03 mg, Citrus limon (Lemon) oil, Ocimum basilicum (Tulasi) oil, Rosmarinus officinalis (Rosemary) leaf oil 0.01 mg each; Sugandhit dravya. Excipients: Base q.q.; Preservatives: DMDM Hydantoin, Methylchloroisothiazolinone (and) Methylisothiazolinone
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","This is my first review and will update after using this product for three months. Till now I would say I am very happy with this product. Only after using it for a couple of weeks my hair seems to have grown thicker. Moreover the fragnance of this shampoo is one of the best I have used yet. Though I know this is not for fragnance but I have to give the company a thumbs up for keeping fragnance as an important factor in Ayurvedic Shampoo. More updates coming soon... :- Loved it. I can see a clear difference in my hair just in 2 wash.  Without any 2nd thought just go for it.I m again here with my reviews after using 1 bottle of this shampoo. Believe me, it's 100% beneficial in reducing hair fall. I can feel smoothness and density in my hair. I m very much impressed with this shampoo. Already ordered for 2nd bottle. :- Worth buying 😘 I'm so happy that I got my product fast. ..And so happy with order",SANYURIecom4.5
6,floni Long & Strong Shampoo Pack of 3  (200 ml),₹600,https://www.flipkart.com/floni-long-strong-shampoo-pack-3/p/itmf3f512cba0c45?pid=SMPGP3DUTFZQ2JTG&lid=LSTSMPGP3DUTFZQ2JTG91KWI9&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPGP3DUTFZQ2JTG.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/f/u/2/200-long-strong-shampoo-pack-of-3-floni-original-imagp3daeawnpgpr.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"This would make her foundationally strong to face any challenge in life. While you give the foundational strength to your daughter, shampoo believes that your daughters hair must also be foundationally strong.","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Ideal For	Men & Women",,Floni69115
7,"WOW SKIN SCIENCE Red Onion Black Seed Oil Shampoo With Red Onion Seed Oil Extract, Black Seed Oil & Pro-Vitamin B5 - No Parabens, Sulphates, Silicones, Color & Peg, 1000 ml  (1 L)",₹549,https://www.flipkart.com/wow-skin-science-red-onion-black-seed-oil-shampoo-extract-pro-vitamin-b5-no-parabens-sulphates-silicones-color-peg-1000-ml/p/itm85bd21c1aeb2f?pid=SMPFZT8CUJ97HVZM&lid=LSTSMPFZT8CUJ97HVZM1AXJ8R&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=en_pe7SYu%2BZTIIC52qoMgwsd9aaOEbk6wKnxebo9nZr3QPQPSqARJGa%2B%2FaJUSJkEiGpFkGVe%2F%2BUrvkmFsbO1BkfWw%3D%3D&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/6/x/5/-original-imagnkry5xdd8xaf.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types,"Tackle hair loss, scalp buildups and dull, weak hair with WOW Skin Science Red Onion Black Seed Oil Shampoo. The shampoo, formulated with natural ingredients, helps strengthen hair follicles and clarify blocked roots. Suitable for all hair types, this shampoo cleanses and moisturizes your hair and scalp and helps to improve hair texture. It is infused with red onion extract with strong antioxidant properties that help protect the scalp and hair, promotes blood circulation to the roots. Black seed oil rich in fatty acids nourishes scalp and roots. Sweet almond oil keeps the scalp and hair conditioned. It can be used to hydrate the roots and scalp and help make hair look healthy and lustrous.","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	India","Wow, this is really a trusted brand. Which is really fruitful. I've been using these things for a long time. Honestly, I am very happy to use the products of this brand, because like other brands, it not only deceives the mind by advertising, but also worksAnd not only this Onion shapmoo tie, each of these shampoos brings a different dimension to the hair. It is made with raw onion and it is not understood by its smell.As it is sulfate free, you will get a different feeling in your hair like ... :- I am using this product since one year & I am also using wow Hair oil & conditioner as well. I really seen good changes over my hair it also helped me to get rid of my dandruff. So overall I love wow Hair Product and I also want to suggest one thing to everyone before start using this product do a patch test as written on the bottle because it help you to know this product good for you or not even before start using any Hair or face product do a patch test atleast once. :- Worth it ... product is realy nice it's worked to me..but Pakeging is not good otherwise allover 👍 guys go for it.. Thanku flipkart for good delivered...",BodyCupid4.5
8,DOVE Hair Fall Rescue Shampoo  (340 ml),₹255,https://www.flipkart.com/dove-hair-fall-rescue-shampoo/p/itmf3xfzmyvwn5ft?pid=SMPD9FYFVANHUAV8&lid=LSTSMPD9FYFVANHUAV8IOHVNX&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPD9FYFVANHUAV8.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/l/t/z/-original-imagpbyh5hfnhyx4.jpeg?q=70,Anti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients: On Tag,"
	You know what’s one of the greatest worries women have? It’s hair fall. And seeing hair strands in our comb can be daunting. That’s why Dove brings you this hair fall rescue shampoo. Combat hair fall and add some bounce to your hair by using this shampoo.

Healthy Hair
	Apart from combating hair fall, this shampoo deeply nourishes damaged hair from root to tip and makes hair visibly fuller.

Gentle Formula
	This shampoo is so gentle that you can use it every day.
","Applied For	Anti-hair Fall
Hair Type	All Hair Types
Composition	Ingredients: On Tag
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1","good shampoo in terms of silky hair. But if u buy this for hairfall rescue, it will work for that too... it will rescue you from hairfall permanently by making you bald. Not easy to notice when you bath but surely you'll lose hair. Once i stopped using this, my hair volume was normal again. :- I got a good packing of products. I have been using for 4-5 years.  its texture is so creamy. Me & My mom both are using dove shampoo. It's give us shiny nd smooth Hair. Love it 😍 :- Nice product flipkart delivery is very fast and good packagingthis is very good fragrance and nice smell hairfall is now stopped little bit",SURICYBCOMBazaar4.7
9,"Nyle Naturals Damage Repair Shampoo, With Goodness Of Shikakai And Hibiscus, 400ml  (400 ml)",₹127,https://www.flipkart.com/nyle-naturals-damage-repair-shampoo-goodness-shikakai-hibiscus-400ml/p/itmc252d5ce29136?pid=SMPG9CJKCBMFJGBG&lid=LSTSMPG9CJKCBMFJGBGO0R1VU&marketplace=FLIPKART&q=shampoo&store=g9b%2Flcf%2Fqqm%2Ft36&otracker=search&otracker1=search&fm=organic&iid=c8063d56-a382-4533-b90f-6305d863b087.SMPG9CJKCBMFJGBG.SEARCH&ppt=None&ppn=None&ssid=fx6kqthzi80000001687456784816&qH=186764a607df448c,https://rukminim1.flixcart.com/image/612/612/kwqq1zk0/shampoo/x/6/h/800-naturals-damage-repair-shampoo-with-goodness-of-shikakai-and-original-imag9cjhah4fvvkq.jpeg?q=70,"Damage Repair Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.",No Description,"Applied For	Damage Repair
Hair Type	All Hair Types
Composition	Water, Sodium Laureth Sulfate, Cocamidopropylbetaine, Cocamide Mea, Peg-40 Hydrogenated Castor Oil , Peg-7 Glyceryl Cocoate , Peg/Ppg-120/10 Trimethylolpropane Trioleate , Glycerin, Carica Papaya (Papaya) Extract, Hibiscus Rosa-Sinensis (Hibiscus) Extract, Phyllanthus Emblica (Amla) Extract, Acacia Concinna (Shikakai) Extract, Fragrance, Polyquaternium-10, Guar Hydroxypropyltrimonium Chloride, Benzyl Alcohol, Sodium Chloride, Disodium Edta, Citric Acid, Methylchloroisothiazolinone , Methylisothiazolinone, Bht, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Ci 15510.
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1
Country of Origin	India",Good shampooo :- Nice product after 1use my hair so soft :- Good,OptimVRcommerce4.8
